id,context,chars,source_text,translation
"plant.tomato.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",6,"Tomato",""
"plant.tomato.notes","Growing advice for Tomato. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",251,"Tomatoes thrive in warm sunny spots with rich soil and steady watering. Basil and marigolds grow especially well nearby. Support vines early with cages or stakes for healthier fruit and airflow. Harvest once fruits are fully colored and slightly soft.",""
"plant.pepper.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",6,"Pepper",""
"plant.pepper.notes","Growing advice for Pepper. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",226,"Peppers love heat and consistent moisture but dislike soggy roots. They grow best in nutrient-rich soil with plenty of sun. Harvest green for a sharper flavor or allow peppers to fully ripen for sweeter taste and deeper color.",""
"plant.carrot.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",6,"Carrot",""
"plant.carrot.notes","Growing advice for Carrot. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",224,"Carrots grow best in loose sandy soil free of rocks so roots stay straight and smooth. Keep soil moist during germination and thin seedlings early for larger harvests. Harvest once roots begin pushing above the soil surface.",""
"plant.lettuce.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",7,"Lettuce",""
"plant.lettuce.notes","Growing advice for Lettuce. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",220,"Lettuce grows quickly in cooler weather and benefits from afternoon shade in warm climates. Frequent harvesting encourages fresh tender leaves throughout the season. Heat may cause plants to bolt and turn bitter quickly.",""
"plant.spinach.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",7,"Spinach",""
"plant.spinach.notes","Growing advice for Spinach. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",192,"Spinach prefers cool temperatures with steady moisture and rich soil. Harvest outer leaves often to keep plants producing longer. Warm weather can trigger bolting and reduce leaf quality fast.",""
"plant.cucumber.name","Plant name — shown as a card title and in search. Keep the common name gardeners in the target locale would actually use; add the botanical name only if there is no common one.",8,"Cucumber",""
"plant.cucumber.notes","Growing advice for Cucumber. Horticultural accuracy matters more than literal fidelity — adapt to local practice if the technique differs, and flag anything that would not apply in the target region.",213,"Cucumbers grow rapidly in warm weather with steady watering and rich soil. Trellising improves airflow, saves space, and keeps fruit cleaner. Harvest frequently while fruits are firm and young for the best flavor.",""
